doi	subject
42255-024-00995-z	Obesity
44325-024-00013-x	Cardiovascular genetics
44325-024-00013-x	Valvular disease
44335-024-00006-0	Engineering
44335-024-00006-0	Mathematics and computing
44328-024-00008-9	Applied optics
44328-024-00008-9	Bacteria
44328-024-00008-9	Diagnosis
44328-024-00008-9	Electrical and electronic engineering
44284-023-00012-6	Geography
44284-023-00012-6	Sociology
44287-023-00009-2	Computational science
44284-023-00010-8	Geography
44284-023-00010-8	Society
44284-023-00018-0	
44287-023-00007-4	Electrical and electronic engineering
44287-023-00007-4	Electronic devices
44284-023-00006-4	Environmental studies
44284-023-00006-4	Sociology
44287-023-00008-3	Computer science
44287-023-00008-3	Electrical and electronic engineering
44287-024-00057-2	Imaging and sensing
44287-024-00057-2	Integrated optics
44287-024-00057-2	Metamaterials
44287-024-00057-2	Nanophotonics and plasmonics
44287-024-00049-2	Computer science
44287-024-00049-2	Medical ethics
44304-024-00033-8	Natural hazards
44304-024-00033-8	Volcanology
44333-024-00011-7	Environmental impact
44333-024-00011-7	Interdisciplinary studies
44333-024-00011-7	Science
44333-024-00011-7	 technology and society
44333-024-00011-7	Statistical physics
44333-024-00011-7	 thermodynamics and nonlinear dynamics
44287-024-00069-y	Batteries
44287-024-00069-y	Characterization and analytical techniques
44335-024-00005-1	Applied mathematics
44335-024-00005-1	Computer science
44335-024-00005-1	Statistical physics
44335-024-00005-1	 thermodynamics and nonlinear dynamics
44325-024-00015-9	Cardiovascular genetics
44325-024-00015-9	Interventional cardiology
44287-024-00031-y	Electrical and electronic engineering
44287-024-00031-y	Electronics
44287-024-00031-y	 photonics and device physics
44287-024-00039-4	Energy infrastructure
44287-024-00039-4	Renewable energy
44284-024-00040-w	Development studies
44284-024-00040-w	Society
44284-024-00055-3	
44328-024-00015-w	Biophysics
44328-024-00015-w	Electrical and electronic engineering
44328-024-00015-w	Nanoscale devices
44328-024-00015-w	Sensors and biosensors
44328-024-00015-w	Sensors and probes
44287-024-00037-6	Electrical and electronic engineering
44287-024-00037-6	Nanoscale devices
44310-024-00017-6	Imaging and sensing
44310-024-00017-6	Integrated optics
44310-024-00017-6	Metamaterials
44287-023-00006-5	Batteries
44328-024-00006-x	Biological techniques
44328-024-00006-x	Engineering
44335-024-00002-4	Computational science
44335-024-00002-4	Mechanical engineering
44287-024-00030-z	Electrical and electronic engineering
44287-024-00030-z	Physical oceanography
44287-024-00021-0	Electrical and electronic engineering
44287-024-00021-0	Electronic devices
44304-024-00016-9	Environmental sciences
44304-024-00016-9	Natural hazards
44325-024-00008-8	Cardiology
44325-024-00008-8	Cardiovascular diseases
44325-024-00008-8	Diseases
44325-024-00008-8	Health care
44328-024-00007-w	Biomaterials
44328-024-00007-w	Sensors and probes
44328-024-00007-w	Techniques and instrumentation
44284-024-00118-5	Environmental impact
44284-024-00118-5	Environmental studies
44284-024-00118-5	Geography
44284-024-00082-0	
44286-024-00165-8	
44286-024-00153-y	Carbon capture and storage
44286-024-00153-y	Chemical engineering
44286-024-00153-y	Electrochemistry
44286-024-00153-y	Microscopy
44286-024-00153-y	Organic chemistry
44328-024-00022-x	Cancer
44328-024-00022-x	Diseases
44328-024-00022-x	Engineering
44284-024-00182-x	
44286-024-00150-1	Chemical engineering
44286-024-00150-1	Fluidics
44286-024-00150-1	Mechanical engineering
44286-024-00148-9	Biocatalysis
44286-024-00148-9	Multienzyme complexes
44287-024-00029-6	Devices for energy harvesting
44287-024-00029-6	Electrical and electronic engineering
44287-024-00029-6	Electronic devices
44287-024-00029-6	Mechanical engineering
44286-024-00158-7	
44287-024-00128-4	Computer science
44287-024-00128-4	Electrical and electronic engineering
44287-024-00128-4	Mathematics and computing
44286-024-00157-8	
44284-024-00156-z	Environmental impact
44284-024-00156-z	Neurodegenerative diseases
44284-024-00156-z	Psychiatric disorders
44284-024-00156-z	Public health
44284-024-00157-y	Climate sciences
44284-024-00157-y	Environmental sciences
44286-024-00147-w	Biological physics
44286-024-00147-w	Chemical engineering
44286-024-00145-y	Carbon capture and storage
44286-024-00145-y	Reaction mechanisms
44287-024-00127-5	Batteries
44287-024-00127-5	Electrical and electronic engineering
44284-024-00162-1	Environmental social sciences
44284-024-00162-1	Geography
44284-024-00153-2	Environmental social sciences
44284-024-00153-2	Environmental studies
44284-024-00153-2	Geography
44284-024-00153-2	Sociology
44284-024-00161-2	Society
44284-024-00161-2	Sociology
44284-024-00158-x	Human behaviour
44284-024-00158-x	Psychology and behaviour
44284-024-00154-1	Business and management
44284-024-00154-1	Social policy
44284-024-00154-1	Sociology
44284-024-00142-5	Geography
44284-024-00142-5	Social policy
44284-024-00140-7	Politics and international relations
44284-024-00140-7	Sociology
44286-024-00136-z	Batteries
44286-024-00136-z	Biomedical engineering
44286-024-00136-z	Gels and hydrogels
44286-024-00159-6	
44286-024-00152-z	Biotechnology
44286-024-00152-z	Chemical engineering
44286-024-00139-w	Polymers
44286-024-00139-w	Two-dimensional materials
44284-024-00073-1	Pathogens
44284-024-00073-1	Urban ecology
44304-024-00050-7	Climate sciences
44304-024-00050-7	Cryospheric science
44284-024-00145-2	Government
44284-024-00145-2	Social policy
44284-024-00145-2	Society
44286-024-00033-5	Catalyst synthesis
44286-024-00033-5	Chemical engineering
44286-024-00033-5	Computational science
44286-023-00024-y	Chemical engineering
44286-023-00024-y	Organometallic chemistry
44286-023-00018-w	Carbon capture and storage
44286-023-00018-w	Chemical engineering
44286-023-00018-w	Electrocatalysis
44304-024-00021-y	Hydrology
44304-024-00021-y	Natural hazards
44287-024-00098-7	
44286-024-00109-2	
44286-024-00104-7	Nanoscale materials
44286-024-00104-7	Phase transitions and critical phenomena
44286-024-00104-7	Techniques and instrumentation
44286-024-00105-6	Batteries
44286-024-00105-6	Materials for devices
44284-024-00071-3	
44286-023-00004-2	Chemical engineering
44286-023-00004-2	Metal–organic frameworks
44286-024-00078-6	
44287-024-00106-w	Electrical and electronic engineering
44287-024-00106-w	Electronic and spintronic devices
44284-023-00022-4	Complex networks
44284-023-00022-4	Information technology
44284-023-00022-4	Social sciences
44287-024-00102-0	Nanobiotechnology
44287-024-00102-0	Reproductive techniques
44286-023-00006-0	Catalysis
44286-023-00006-0	Chemical engineering
44286-023-00001-5	Fluids
44286-023-00001-5	Gels and hydrogels
44286-023-00001-5	Wetting
44287-024-00060-7	
44284-024-00151-4	Civil engineering
44284-024-00151-4	Climate-change impacts
44286-024-00092-8	Chemistry
44286-024-00092-8	Reaction kinetics and dynamics
44284-024-00113-w	Climate sciences
44284-024-00113-w	Environmental impact
44284-024-00113-w	Natural hazards
44286-024-00059-9	
44286-024-00057-x	
44284-024-00133-6	Development studies
44284-024-00133-6	Geography
44284-024-00133-6	Governance
44286-024-00121-6	Chemical engineering
44286-024-00121-6	Polymers
44287-024-00072-3	Computer science
44287-024-00072-3	Electrical and electronic engineering
44341-024-00003-1	Biophysical methods
44341-024-00003-1	Biophysics
44341-024-00003-1	Cell migration
44341-024-00003-1	Lab-on-a-chip
44260-024-00020-0	Computational models
44260-024-00020-0	Nonlinear phenomena
44333-024-00008-2	Energy grids and networks
44333-024-00008-2	Energy modelling
44333-024-00008-2	Energy storage
44325-024-00029-3	Cardiology
44325-024-00029-3	Cardiovascular diseases
44304-024-00030-x	Natural hazards
44304-024-00030-x	Solid Earth sciences
44341-024-00001-3	Biological physics
44341-024-00001-3	Computational biophysics
44341-024-00001-3	Nonlinear dynamics
44304-024-00029-4	Hydrology
44304-024-00029-4	Natural hazards
44304-024-00029-4	Solid Earth sciences
44294-024-00011-5	Diagnosis
44294-024-00011-5	Health services
44271-024-00094-5	Human behaviour
44271-024-00094-5	Social behaviour
44298-024-00029-1	Influenza virus
44298-024-00029-1	Virology
44276-024-00061-x	
44303-024-00009-3	Biomedical engineering
44303-024-00009-3	Imaging techniques and agents
44303-024-00009-3	Positron-emission tomography
44276-024-00083-5	
44222-024-00154-9	Cancer microenvironment
44222-024-00154-9	Drug delivery
44222-024-00154-9	Nanoparticles
44222-024-00154-9	Nanotechnology in cancer
44222-024-00152-x	Computational biology and bioinformatics
44222-024-00152-x	Drug discovery
44222-024-00153-w	Biomaterials
44222-024-00153-w	Fluorescent probes
44222-024-00153-w	Sensors
44277-024-00007-8	Cognitive control
44277-024-00007-8	Prefrontal cortex
44298-024-00027-3	Marburg virus
44298-024-00027-3	Monocytes and macrophages
44298-024-00027-3	Viral host response
44298-024-00027-3	Virus–host interactions
44276-024-00050-0	
44271-024-00069-6	Human behaviour
44271-024-00069-6	Pain
44303-024-00014-6	Biomedical engineering
44303-024-00014-6	Computed tomography
44303-024-00014-6	Image processing
44271-024-00083-8	Human behaviour
44271-024-00083-8	Perception
44271-024-00083-8	Sensory processing
44276-024-00055-9	
44271-024-00074-9	Human behaviour
44276-024-00060-y	
44264-024-00015-3	Element cycles
44264-024-00015-3	Environmental impact
44294-024-00016-0	Diagnosis
44294-024-00016-0	Ovarian cancer
44276-024-00056-8	
44277-024-00006-9	Human behaviour
44277-024-00006-9	Psychiatric disorders
44277-024-00006-9	Risk factors
44259-024-00028-5	Antimicrobials
44259-024-00028-5	Environmental sciences
44259-024-00030-x	Antibiotics
44259-024-00030-x	Gastroenteritis
44259-024-00030-x	Microbiome
44271-024-00075-8	Human behaviour
44271-024-00075-8	Psychology
44271-024-00082-9	Cognitive ageing
44271-024-00082-9	Consolidation
44271-024-00082-9	Human behaviour
44306-023-00007-y	Chemical physics
44306-023-00007-y	Condensed-matter physics
44306-023-00007-y	Materials for devices
44306-023-00007-y	Physical chemistry
44306-023-00007-y	Theory and computation
44298-024-00024-6	Dengue virus
44298-024-00024-6	Microbiology
44298-024-00024-6	Virus–host interactions
44306-024-00012-9	Applied physics
44306-024-00012-9	Optical materials and structures
44298-024-00064-y	Pathogenesis
44298-024-00064-y	Virology
44264-024-00030-4	Environmental impact
44264-024-00030-4	Sustainability
43247-024-01762-4	Carbon cycle
43247-024-01762-4	Marine biology
43247-024-01762-4	Water microbiology
43247-024-01758-0	Ecosystem ecology
43247-024-01758-0	Ecosystem services
43247-024-01758-0	Wetlands ecology
43246-024-00674-2	Electronic materials
43246-024-00674-2	Magnetic materials
43246-024-00674-2	Mechanical properties
43247-024-01749-1	Element cycles
43247-024-01749-1	Marine biology
43247-024-01749-1	Marine chemistry
43247-024-01749-1	Microbial biooceanography
43247-024-01711-1	Attribution
43247-024-01711-1	Projection and prediction
43247-024-01763-3	Atmospheric dynamics
43247-024-01763-3	Environmental health
43247-024-01763-3	Natural hazards
43247-024-01716-w	Atmospheric chemistry
43247-024-01716-w	Environmental impact
43247-024-01747-3	Interdisciplinary studies
43247-024-01747-3	Natural hazards
43247-024-01747-3	Volcanology
43247-024-01730-y	Astrobiology
43247-024-01730-y	Cryospheric science
43247-024-01730-y	Hydrology
43247-024-01730-y	Inner planets
43247-024-01759-z	Geomorphology
43247-024-01759-z	Natural hazards
43247-024-01759-z	Sedimentology
43247-024-01759-z	Seismology
43247-024-01759-z	Structural geology
43246-024-00670-6	Colloids
43246-024-00670-6	Soft materials
43247-024-01752-6	Atmospheric dynamics
43247-024-01752-6	Inner planets
43247-024-01729-5	Climate-change impacts
43247-024-01729-5	Energy security
43247-024-01425-4	Geology
43247-024-01425-4	Palaeoclimate
43017-024-00522-4	Environmental impact
43017-024-00522-4	Pollution remediation
43016-024-01009-7	Decision making
43016-024-01009-7	Law
43016-024-01009-7	Policy
43017-024-00520-6	Element cycles
43017-024-00520-6	Environmental monitoring
43017-024-00520-6	Geochemistry
43018-024-00827-9	Cancer
43018-024-00827-9	Health care economics
43018-024-00827-9	Health policy
43018-024-00827-9	Health services
43018-024-00827-9	Melanoma
43018-024-00784-3	Cancer
43018-024-00784-3	Cancer genomics
43018-024-00784-3	Next-generation sequencing
43018-024-00784-3	Proteomics
43017-024-00591-5	Element cycles
43017-024-00591-5	Geochemistry
43017-024-00591-5	Precambrian geology
43017-024-00583-5	Biogeography
43017-024-00583-5	Climate-change ecology
43017-024-00583-5	Marine biology
43016-024-00991-2	Energy economics
43016-024-00991-2	Energy management
43016-024-00991-2	Energy supply and demand
43016-024-00991-2	Environmental impact
43018-024-00783-4	Cancer
43018-024-00783-4	Cancer therapy
43018-024-00783-4	Drug development
43018-024-00783-4	Target identification
43016-024-00982-3	Agriculture
43016-024-00982-3	Environmental impact
43016-024-00987-y	Environmental sciences
43016-024-00987-y	Natural hazards
43016-024-00969-0	Bacterial genetics
43016-024-00969-0	Gastrointestinal diseases
43018-024-00765-6	Inflammatory diseases
43018-024-00765-6	Tumour immunology
43016-024-00981-4	Environmental sciences
43016-024-00981-4	Environmental studies
43016-024-00986-z	Microbiology
43016-024-00986-z	Molecular evolution
43016-024-00965-4	Environmental impact
43016-024-00965-4	Water resources
43247-024-01755-3	Atmospheric dynamics
43247-024-01755-3	Climate and Earth system modelling
43246-024-00664-4	Biomedical engineering
43246-024-00664-4	Mechanical engineering
44161-024-00491-3	Angiogenesis
44161-024-00491-3	Myocardial infarction
44161-024-00491-3	Neuroscience
44161-024-00491-3	Preclinical research
44160-024-00598-2	Fuel cells
44160-024-00598-2	Synthesis and processing
44160-024-00605-6	Homogeneous catalysis
44160-024-00605-6	Synthetic chemistry methodology
44161-024-00527-8	Immunopathogenesis
44161-024-00527-8	Vascular diseases
44161-024-00485-1	Heart failure
44161-024-00485-1	Predictive markers
44160-024-00603-8	Catalyst synthesis
44160-024-00603-8	Electrocatalysis
44172-024-00284-3	Applied physics
44172-024-00284-3	Characterization and analytical techniques
44172-024-00284-3	Mechanical engineering
44160-024-00611-8	Electrocatalysis
44160-024-00611-8	Chemical synthesis
44161-024-00475-3	Genetics research
44161-024-00475-3	Myocardial infarction
44161-024-00475-3	Stroke
44159-024-00342-9	
44160-024-00617-2	Homogeneous catalysis
44160-024-00617-2	Synthetic chemistry methodology
44161-024-00470-8	Inflammation
44161-024-00470-8	Myelopoiesis
44161-024-00520-1	Cerebrovascular disorders
44161-024-00520-1	Vascular diseases
44161-024-00469-1	Biomarkers
44161-024-00469-1	Cardiology
44161-024-00469-1	Disease prevention
44161-024-00469-1	Dyslipidaemias
44161-024-00469-1	Predictive markers
44161-024-00547-4	Angiogenesis
44161-024-00547-4	Cell signalling
44160-024-00566-w	Synthetic chemistry methodology
44160-024-00566-w	Photocatalysis
44184-024-00106-6	Population screening
44184-024-00106-6	Psychology
44160-024-00585-7	Catalyst synthesis
44160-024-00585-7	Catalytic mechanisms
44160-024-00585-7	Heterogeneous catalysis
44160-024-00585-7	Metal–organic frameworks
44160-024-00588-4	Electrocatalysis
44160-024-00588-4	Molecular dynamics
44160-024-00590-w	Conjugated polymers
44160-024-00590-w	Synthetic chemistry methodology
44168-024-00189-z	Climate-change policy
44168-024-00189-z	Politics
44161-024-00529-6	
44160-024-00567-9	Asymmetric catalysis
44160-024-00567-9	Homogeneous catalysis
44160-024-00567-9	Synthetic chemistry methodology
44160-024-00577-7	Biocatalysis
44160-024-00577-7	Natural product synthesis
44160-024-00568-8	Chemical engineering
44160-024-00568-8	Electrocatalysis
44160-024-00587-5	Synthetic chemistry methodology
44160-024-00587-5	Photocatalysis
44160-024-00613-6	Synthetic chemistry methodology
44160-024-00613-6	Natural product synthesis
44160-024-00533-5	Asymmetric catalysis
44160-024-00533-5	Biocatalysis
44160-024-00536-2	Biocatalysis
44161-024-00515-y	Cardiovascular diseases
44161-024-00515-y	Disease prevention
44161-024-00515-y	Endocrine system and metabolic diseases
44160-023-00477-2	Biocatalysis
44160-023-00477-2	Biosynthesis
44160-023-00477-2	Synthetic biology
44161-024-00580-3	Atherosclerosis
44161-024-00580-3	Inflammation
44161-024-00580-3	Monocytes and macrophages
44161-024-00525-w	Cardiovascular diseases
44161-024-00525-w	Tissue engineering
44161-024-00496-y	Molecular medicine
44161-024-00496-y	Peripheral vascular disease
44160-024-00581-x	Asymmetric catalysis
44160-024-00581-x	Reaction mechanisms
44160-024-00581-x	Stereochemistry
44160-024-00599-1	Biocatalysis
44160-024-00599-1	Biosynthesis
44161-024-00559-0	Cardiac hypertrophy
44161-024-00559-0	Heart failure
44160-024-00676-5	Homogeneous catalysis
44160-024-00676-5	Synthetic chemistry methodology
44160-024-00676-5	Photocatalysis
44159-024-00383-0	Careers
44159-024-00383-0	Psychology
44159-024-00383-0	Scientific community
44160-024-00618-1	Catalytic mechanisms
44160-024-00618-1	Synthetic chemistry methodology
44160-024-00618-1	Polymers
44159-024-00370-5	Anxiety
44159-024-00370-5	Human behaviour
44159-024-00370-5	Psychology
44160-024-00575-9	Biocatalysis
44160-024-00575-9	Biosynthesis
44160-024-00575-9	Metathesis reactions
44160-024-00575-9	Synthetic biology
44160-024-00564-y	Synthetic chemistry methodology
44160-024-00564-y	Natural product synthesis
44160-024-00569-7	Molecular self-assembly
44160-024-00569-7	Self-assembly
44160-024-00569-7	Solid-state chemistry
44161-024-00541-w	
44160-024-00596-4	Biocatalysis
44160-024-00570-0	Synthetic chemistry methodology
44160-024-00570-0	Peptides
44160-024-00570-0	Reaction mechanisms
44160-024-00582-w	Computational chemistry
44160-024-00582-w	Conjugated polymers
44160-024-00582-w	Synthesis and processing
44160-024-00630-5	Biocatalysis
44160-024-00630-5	Biosynthesis
44160-024-00630-5	Metathesis reactions
44160-024-00630-5	Synthetic biology
44222-024-00260-8	Nanopores
44222-024-00260-8	Nanoscale biophysics
44222-024-00260-8	Single-molecule biophysics
44184-024-00115-5	Population screening
44184-024-00115-5	Psychology
44160-024-00619-0	Carbohydrate chemistry
44160-024-00619-0	Infrared spectroscopy
44160-024-00619-0	Mass spectrometry
44160-024-00619-0	Reaction mechanisms
44161-024-00508-x	Calcification
44161-024-00508-x	Cardiovascular biology
44161-024-00510-3	Gene regulatory networks
44161-024-00510-3	Heart development
44161-024-00510-3	Transcriptomics
44160-024-00651-0	Catalyst synthesis
44160-024-00651-0	Heterogeneous catalysis
44160-024-00651-0	Chemical synthesis
44161-024-00489-x	Atrial fibrillation
44161-024-00489-x	Computational models
44161-024-00489-x	Interventional cardiology
44160-024-00650-1	Synthetic chemistry methodology
44160-024-00650-1	Chemical synthesis
44160-024-00563-z	Antibody therapy
44160-024-00563-z	Chemical modification
44160-024-00507-7	Biocatalysis
44160-024-00507-7	Biosynthesis
44161-024-00557-2	Cell biology
44161-024-00557-2	Diseases
44159-024-00377-y	Careers
44159-024-00377-y	Psychology
44159-024-00377-y	Scientific community
44183-024-00097-z	Climate change
44183-024-00097-z	Ocean sciences
44183-024-00080-8	Civil engineering
44183-024-00080-8	Environmental impact
44183-024-00080-8	Socioeconomic scenarios
44183-024-00080-8	Sustainability
43246-024-00501-8	Electronic properties and materials
43246-024-00501-8	Self-assembly
43246-024-00501-8	Two-dimensional materials
43018-024-00732-1	Cancer microenvironment
43018-024-00732-1	Metastasis
43247-024-01344-4	Climate-change ecology
43247-024-01344-4	Climate-change impacts
43247-024-01344-4	Fire ecology
43247-024-01344-4	Natural hazards
43018-023-00722-9	Cancer
43018-023-00722-9	Cancer genetics
43018-023-00722-9	Cancer immunotherapy
43018-023-00722-9	Cancer metabolism
43018-023-00722-9	Cancer microenvironment
43017-024-00517-1	Atmospheric chemistry
43017-024-00517-1	Climate change
43017-024-00517-1	Hydrology
43017-024-00590-6	Climate change
43017-024-00590-6	Cryospheric science
43017-024-00590-6	Ecosystem services
43017-024-00590-6	Limnology
43016-024-01030-w	Agriculture
43016-024-01030-w	Economics
43016-024-01030-w	Environmental studies
43016-024-01030-w	Nutrition disorders
43016-024-01030-w	Social policy
43017-024-00587-1	Geomorphology
43017-024-00587-1	Natural hazards
43016-024-01034-6	Agriculture
43016-024-01034-6	Development studies
43016-024-01034-6	Diseases
43016-024-01034-6	Social policy
43016-024-00952-9	Agriculture
43016-024-00952-9	Element cycles
43016-024-00952-9	Environmental impact
43016-024-00952-9	Geography
43017-024-00578-2	Biogeochemistry
43017-024-00578-2	Freshwater ecology
43017-024-00578-2	Limnology
43018-024-00757-6	Cancer genomics
43018-024-00757-6	Cancer therapy
43016-024-00970-7	Ecology
43016-024-00970-7	Environmental sciences
43018-024-00762-9	Molecular medicine
43018-024-00762-9	Sarcoma
43017-024-00558-6	Careers
43017-024-00558-6	Earth and environmental sciences
43016-024-00988-x	Agriculture
43016-024-00988-x	Climate-change impacts
43016-024-00988-x	Climate-change mitigation
43016-024-00988-x	Climate-change policy
43016-024-00988-x	Developing world
43016-024-00922-1	Agroecology
43016-024-00922-1	Agriculture
43016-024-00922-1	Antibiotics
43016-024-00922-1	Climate-change mitigation
43016-024-00922-1	Environmental impact
43247-024-01703-1	Tectonics
43247-024-01703-1	Volcanology
43247-024-01899-2	Climate and Earth system modelling
43247-024-01899-2	Climate-change mitigation
43247-024-01715-x	Geomagnetism
43247-024-01715-x	Mineralogy
43247-024-01715-x	Palaeomagnetism
43247-024-01739-3	Climate-change mitigation
43247-024-01739-3	Environmental impact
43247-024-01750-8	Atmospheric science
43247-024-01750-8	Environmental impact
43247-024-01750-8	Projection and prediction
43247-024-01734-8	Climate-change impacts
43247-024-01734-8	Cryospheric science
43247-024-01741-9	Economics
43247-024-01741-9	Environmental social sciences
43247-024-01741-9	Environmental studies
43247-024-01732-w	Element cycles
43247-024-01732-w	Geochemistry
43247-024-01725-9	Natural hazards
43247-024-01725-9	Seismology
43247-024-01744-6	Climate-change ecology
43247-024-01744-6	Environmental impact
43247-024-01728-6	Climate-change policy
43247-024-01728-6	Energy and society
43247-024-01695-y	Environmental impact
43247-024-01695-y	Environmental monitoring
43246-024-00649-3	Magnetic properties and materials
43246-024-00649-3	Superconducting properties and materials
43246-024-00649-3	Topological insulators
43246-024-00649-3	Two-dimensional materials
43246-024-00656-4	Heterogeneous catalysis
43246-024-00656-4	Pollution remediation
43018-024-00794-1	Cancer
43018-024-00794-1	Melanoma
43018-024-00794-1	Metastasis
43856-024-00566-z	Metabolic syndrome
43856-024-00566-z	Obesity
43856-024-00566-z	Preventive medicine
43588-024-00654-z	Adaptive immunity
43588-024-00654-z	Computational models
43587-024-00665-5	Machine learning
43587-024-00665-5	Predictive markers
43587-024-00680-6	Predictive markers
43587-024-00680-6	Trauma
43587-024-00657-5	Ageing
43587-024-00657-5	Predictive markers
43856-024-00653-1	Neurodegenerative diseases
43856-024-00653-1	Predictive markers
43856-024-00649-x	Alcoholic liver disease
43856-024-00649-x	Liver cirrhosis
43856-024-00649-x	Non-alcoholic fatty liver disease
43856-024-00649-x	Non-alcoholic steatohepatitis
43587-024-00571-w	Ageing
43587-024-00571-w	Microglia
43587-024-00571-w	Neuroimmunology
43587-023-00561-4	
43587-024-00686-0	Predictive markers
43587-024-00686-0	Prognostic markers
43586-024-00348-w	Gene therapy
43586-024-00348-w	Immunotherapy
43587-024-00648-6	Ageing
43587-024-00648-6	Databases
43587-024-00648-6	Medical research
43587-024-00654-8	Metabolic disorders
43587-024-00654-8	Senescence
43586-024-00344-0	Fluid dynamics
43586-024-00344-0	Nanofluidics
43586-024-00344-0	Nanoscale materials
43856-024-00628-2	Epidemiology
43856-024-00628-2	Viral infection
43856-024-00635-3	Amyotrophic lateral sclerosis
43856-024-00635-3	Brain–machine interface
43856-024-00635-3	Motor cortex
43856-024-00635-3	Phase I trials
43856-024-00623-7	Immune system
43856-024-00623-7	Lymphangiogenesis
42949-024-00182-9	Business and management
42949-024-00182-9	Climate-change mitigation
42949-024-00182-9	Energy economics
43856-024-00630-8	Microbiome
43856-024-00630-8	Parkinson's disease
43856-024-00638-0	Spinal cord diseases
43856-024-00638-0	Spinal cord injury
43588-024-00628-1	Materials science
43588-024-00628-1	Mathematics and computing
43588-024-00628-1	Quantum information
43588-024-00628-1	Theory and computation
43856-024-00636-2	Hepatology
43856-024-00636-2	Physiology
43856-024-00648-y	Haematopoietic stem cells
43856-024-00648-y	Neonatal brain damage
43856-024-00627-3	Health services
43856-024-00627-3	Public health
43856-024-00548-1	Genetic variation
43856-024-00548-1	Preventive medicine
43588-024-00664-x	Computational chemistry
43588-024-00664-x	Electrocatalysis
43588-024-00664-x	History of chemistry
43587-024-00681-5	Autophagy
43587-024-00681-5	Senescence
43588-024-00670-z	Catalysis
43588-024-00670-z	Computational chemistry
43588-024-00670-z	Electrochemistry
43588-024-00670-z	History of chemistry
43587-024-00683-3	Ageing
43587-024-00683-3	Diagnostic markers
43587-024-00683-3	Predictive markers
43587-024-00683-3	Prognostic markers
43588-024-00652-1	Chemistry
43588-024-00652-1	Physics
43588-024-00648-x	Nonlinear optics
43588-024-00648-x	Optoelectronic devices and components
44259-024-00064-1	Antifungal agents
44259-024-00064-1	Antimicrobial resistance
44259-024-00064-1	Experimental evolution
44259-024-00064-1	Fungal evolution
44303-024-00062-y	Image processing
44303-024-00062-y	Optical techniques
44324-024-00040-3	Energy metabolism
44324-024-00040-3	Metabolism
44324-024-00040-3	Mitochondria
44324-024-00040-3	Physiology
44271-024-00137-x	Human behaviour
44294-024-00038-8	Diagnosis
44294-024-00038-8	Health care
44298-024-00053-1	Viral epidemiology
44298-024-00053-1	Virology
44303-024-00040-4	Optical imaging
44303-024-00040-4	Wide-field fluorescence microscopy
44259-024-00043-6	Eukaryote
44259-024-00043-6	Evolutionary ecology
44259-024-00043-6	Evolutionary genetics
44259-024-00043-6	Fungal evolution
44259-024-00043-6	Fungal genomics
44303-024-00045-z	Histology
44303-024-00045-z	Microscopy
44303-024-00045-z	Scanning electron microscopy
44324-024-00025-2	Endocrine system and metabolic diseases
44324-024-00025-2	Feeding behaviour
44324-024-00025-2	Homeostasis
44296-024-00040-w	Civil engineering
44296-024-00040-w	Materials science
44298-024-00056-y	Innate immunity
44298-024-00056-y	Microbiology
44298-024-00056-y	Virology
44259-024-00044-5	Antimicrobial resistance
44259-024-00044-5	Bacterial genetics
44271-024-00141-1	Human behaviour
44271-024-00141-1	Perception
44298-024-00052-2	Alphaviruses
44298-024-00052-2	Viral evolution
44298-024-00052-2	Virology
44259-024-00042-7	Antibacterial drug resistance
44259-024-00042-7	Antimicrobials
44303-024-00042-2	Medical imaging
44303-024-00042-2	Optics and photonics
44276-024-00044-y	
44298-024-00019-3	Computational biology and bioinformatics
44298-024-00019-3	Genetics
44220-024-00265-7	Medical research
44220-024-00265-7	Psychology
44222-024-00202-4	Institutions
44222-024-00202-4	Scientific community
44221-024-00243-4	Climate sciences
44221-024-00243-4	Hydrology
44221-024-00250-5	Carbon cycle
44221-024-00250-5	Limnology
44222-024-00200-6	Cellular neuroscience
44222-024-00200-6	Extracellular recording
44222-024-00151-y	Neuromuscular junction
44222-024-00151-y	Skeletal muscle
44222-024-00151-y	Somatic system
44294-024-00039-7	Diseases
44294-024-00039-7	Health care
44294-024-00039-7	Physiology
44221-024-00215-8	Environmental impact
44221-024-00215-8	Environmental sciences
44221-024-00209-6	Atmospheric dynamics
44221-024-00209-6	Hydrology
44220-024-00221-5	
44221-024-00279-6	Engineering
44221-024-00279-6	Environmental chemistry
44182-024-00013-0	Engineering
44182-024-00013-0	Fluid dynamics
44182-024-00013-0	Mathematics and computing
44264-024-00024-2	Agroecology
44264-024-00024-2	Microbial ecology
43587-024-00718-9	Ageing
43587-024-00718-9	Alzheimer's disease
43587-024-00718-9	Biomarkers
43587-024-00718-9	Functional genomics
43587-024-00718-9	Proteomics
43587-024-00612-4	Ageing
43587-024-00612-4	miRNAs
43856-024-00665-x	Bacterial infection
43856-024-00665-x	Fungal infection
43856-024-00672-y	3-D reconstruction
43856-024-00672-y	Head and neck cancer
43856-024-00672-y	X-ray tomography
43856-024-00678-6	Depression
43856-024-00678-6	Public health
43856-024-00678-6	Therapeutics
43856-024-00633-5	Epidemiology
43856-024-00633-5	Influenza virus
43587-024-00614-2	Ageing
43587-024-00614-2	Reproductive disorders
43587-024-00614-2	Senescence
43856-024-00601-z	Health care
43856-024-00601-z	Medical research
